step,value
0,31.0
1,16.0
2,19.0
3,20.0
4,27.0
5,10.0
6,29.0
7,14.0
8,21.0
9,47.0
10,52.0
11,23.0
12,37.0
13,23.0
14,14.0
15,24.0
16,59.0
17,15.0
18,25.0
19,36.0
20,23.0
21,16.0
22,24.0
23,16.0
24,10.0
25,25.0
26,48.0
27,60.0
28,14.0
29,29.0
30,44.0
31,17.0
32,35.0
33,26.0
34,18.0
35,33.0
36,48.0
37,39.0
38,38.0
39,39.0
40,24.0
41,37.0
42,32.0
43,34.0
44,30.0
45,90.0
46,25.0
47,11.0
48,94.0
49,81.0
50,23.0
51,42.0
52,20.0
53,24.0
54,27.0
55,23.0
56,48.0
57,13.0
58,34.0
59,21.0
60,31.0
61,46.0
62,78.0
63,69.0
64,37.0
65,20.0
66,72.0
67,52.0
68,83.0
69,70.0
70,25.0
71,37.0
72,97.0
73,97.0
74,62.0
75,43.0
76,34.0
77,34.0
78,54.0
79,61.0
80,21.0
81,65.0
82,33.0
83,45.0
84,30.0
85,36.0
86,59.0
87,30.0
88,32.0
89,50.0
90,95.0
91,117.0
92,148.0
93,33.0
94,102.0
95,11.0
96,144.0
97,21.0
98,28.0
99,60.0
100,37.0
101,40.0
102,47.0
103,37.0
104,44.0
105,23.0
106,128.0
107,61.0
108,83.0
109,77.0
110,73.0
111,74.0
112,40.0
113,40.0
114,106.0
115,141.0
116,52.0
117,64.0
118,51.0
119,151.0
120,94.0
121,168.0
122,134.0
123,196.0
124,73.0
125,104.0
126,155.0
127,378.0
128,179.0
129,214.0
130,283.0
131,79.0
132,83.0
133,163.0
134,234.0
135,238.0
136,183.0
137,251.0
138,123.0
139,145.0
140,167.0
141,167.0
142,282.0
143,374.0
144,468.0
145,222.0
146,249.0
147,500.0
148,180.0
149,176.0
150,157.0
151,241.0
152,223.0
153,244.0
154,246.0
155,168.0
156,256.0
157,125.0
158,300.0
159,150.0
160,78.0
161,208.0
162,122.0
163,200.0
164,73.0
165,122.0
166,151.0
